Presynaptic_ID,Postsynaptic_ID,Presynaptic_Index,Postsynaptic_Index,Connectivity,Excitatory,Excitatory x Connectivity
720575940605758142,720575940603464672,2179,202,16,1,16
720575940605758142,720575940619071005,2179,37714,25,1,25
720575940605758142,720575940634545890,2179,115447,146,1,146
720575940605758142,720575940624879911,2179,68599,27,1,27
720575940605758142,720575940621529435,2179,49729,6,1,6
720575940605758142,720575940637594334,2179,122856,15,1,15
720575940605758142,720575940609282825,2179,7178,163,1,163
720575940605758142,720575940622726271,2179,56643,94,1,94
720575940605758142,720575940633294796,2179,111976,38,1,38
720575940605758142,720575940623636701,2179,61846,16,1,16
720575940605758142,720575940629461442,2179,93663,1,1,1
720575940605758142,720575940635983770,2179,119328,68,1,68
720575940605899692,720575940618987600,2455,37365,5,1,5
720575940605899692,720575940613455986,2455,17428,2,1,2
720575940605899692,720575940625049781,2455,69626,149,1,149
720575940605899692,720575940626309562,2455,75832,1,1,1
720575940605899692,720575940607635913,2455,4898,3,1,3
720575940605899692,720575940632080977,2455,106885,20,1,20
720575940605899692,720575940616733323,2455,28259,18,1,18
720575940605899692,720575940625357547,2455,71057,3,1,3
720575940605899692,720575940624931888,2455,68913,8,1,8
720575940605899692,720575940628200551,2455,86814,1,1,1
720575940605899692,720575940622523508,2455,55547,2,1,2
720575940605899692,720575940618321364,2455,34640,1,1,1
720575940605899692,720575940623113752,2455,58832,132,1,132
720575940605899692,720575940619148829,2455,38032,12,1,12
720575940605899692,720575940610584184,2455,9455,1,1,1
720575940605899692,720575940618444473,2455,35141,121,1,121
720575940605899692,720575940620023686,2455,41504,4,1,4
720575940606149321,720575940637098352,2860,121757,1,-1,-1
720575940606149321,720575940628865644,2860,90648,2,-1,-2
720575940606149321,720575940621689727,2860,50739,18,-1,-18
720575940606149321,720575940614710509,2860,21291,3,-1,-3
720575940606149321,720575940629513478,2860,93983,4,-1,-4
720575940606149321,720575940624377224,2860,66072,2,-1,-2
720575940606149321,720575940621371045,2860,48838,10,-1,-10
720575940606149321,720575940618987600,2860,37365,6,-1,-6
720575940606149321,720575940604569824,2860,750,12,-1,-12
720575940606149321,720575940628082053,2860,86153,1,-1,-1
720575940606149321,720575940616736198,2860,28268,8,-1,-8
720575940606149321,720575940631842360,2860,105779,13,-1,-13
720575940606149321,720575940623413116,2860,60591,2,-1,-2
720575940606149321,720575940604088288,2860,472,16,-1,-16
720575940606149321,720575940608545219,2860,6128,12,-1,-12
720575940606149321,720575940618932763,2860,37128,4,-1,-4
720575940606149321,720575940626977947,2860,79515,7,-1,-7
720575940606149321,720575940609258850,2860,7131,28,-1,-28
720575940606149321,720575940625102224,2860,69919,2,-1,-2
720575940606149321,720575940615255603,2860,23215,4,-1,-4
720575940606149321,720575940626044942,2860,74593,1,-1,-1
720575940606149321,720575940621195290,2860,47847,3,-1,-3
720575940606149321,720575940604737708,2860,904,1,-1,-1
720575940606149321,720575940610505006,2860,9313,51,-1,-51
720575940606149321,720575940615723314,2860,24792,2,-1,-2
720575940606149321,720575940650416505,2860,136795,1,-1,-1
720575940606149321,720575940626848275,2860,78706,9,-1,-9
720575940606149321,720575940633893401,2860,113894,4,-1,-4
720575940606149321,720575940629437054,2860,93547,16,-1,-16
720575940606149321,720575940629609457,2860,94443,1,-1,-1
720575940606149321,720575940628200551,2860,86814,42,-1,-42
720575940606149321,720575940619615552,2860,39669,6,-1,-6
720575940606692542,720575940629513222,3686,93981,7,-1,-7
720575940606692542,720575940626039996,3686,74562,1,-1,-1
720575940606692542,720575940623444044,3686,60791,1,-1,-1
720575940606692542,720575940623133097,3686,58953,108,-1,-108
720575940606692542,720575940636543668,3686,120535,6,-1,-6
720575940606692542,720575940626403917,3686,76326,63,-1,-63
720575940606692542,720575940631180599,3686,102668,4,-1,-4
720575940606692542,720575940635089945,3686,116843,9,-1,-9
720575940606692542,720575940621393172,3686,48970,1,-1,-1
720575940606696369,720575940635119723,3692,116937,388,1,388
720575940606696369,720575940633176204,3692,111486,4,1,4
720575940606696369,720575940625049781,3692,69626,5,1,5
720575940606696369,720575940627796298,3692,84472,134,1,134
720575940606696369,720575940626309562,3692,75832,1,1,1
720575940606696369,720575940607635913,3692,4898,4,1,4
720575940606696369,720575940632080977,3692,106885,2,1,2
720575940606696369,720575940633305681,3692,112021,1,1,1
720575940606696369,720575940616733323,3692,28259,2,1,2
720575940606696369,720575940640834211,3692,130068,21,1,21
720575940606696369,720575940621640363,3692,50424,4,1,4
720575940606696369,720575940626783065,3692,78311,4,1,4
720575940606696369,720575940609137500,3692,6936,2,1,2
720575940606696369,720575940612264817,3692,13536,10,1,10
720575940606696369,720575940619918203,3692,40992,1,1,1
720575940606696369,720575940624931888,3692,68913,1,1,1
720575940606696369,720575940622523508,3692,55547,1,1,1
720575940606696369,720575940628069501,3692,86059,1,1,1
720575940606696369,720575940623957173,3692,63536,3,1,3
720575940606696369,720575940623781127,3692,62546,1,1,1
720575940606696369,720575940624225741,3692,65148,1,1,1
720575940606696369,720575940618321364,3692,34640,3,1,3
720575940606696369,720575940623113752,3692,58832,18,1,18
720575940606696369,720575940619148829,3692,38032,2,1,2
